order_id,tanggal,kategori,kota,unit_terjual,harga_satuan,metode_pembayaran,rating
ORD-3000,2026-09-02T00:00:00.000000000,Rumah Tangga,Yogyakarta,3,90000,COD,4.0
ORD-3001,2026-09-04T00:00:00.000000000,Makanan & Minuman,Solo,3,200000,E-Wallet,5.0
ORD-3002,2026-09-26T00:00:00.000000000,Kesehatan & Kecantikan,Semarang,8,60000,E-Wallet,3.0
ORD-3003,2026-09-09T00:00:00.000000000,Makanan & Minuman,Semarang,6,350000,Transfer Bank,4.0
ORD-3004,2026-09-10T00:00:00.000000000,Rumah Tangga,Yogyakarta,10,60000,E-Wallet,4.0
ORD-3005,2026-09-09T00:00:00.000000000,Fashion,Purworejo,5,20000,E-Wallet,4.0
ORD-3006,2026-09-19T00:00:00.000000000,Makanan & Minuman,Yogyakarta,2,20000,COD,5.0
ORD-3007,2026-09-05T00:00:00.000000000,Makanan & Minuman,Magelang,8,90000,Transfer Bank,
ORD-3008,2026-09-06T00:00:00.000000000,Fashion,Semarang,7,20000,Kartu Kredit,5.0
ORD-3009,2026-09-21T00:00:00.000000000,Elektronik,Yogyakarta,10,90000,Transfer Bank,3.0
ORD-3010,2026-09-02T00:00:00.000000000,Fashion,Solo,4,350000,Transfer Bank,3.0
ORD-3011,2026-09-24T00:00:00.000000000,Olahraga,Purworejo,4,60000,Kartu Kredit,4.0
ORD-3012,2026-09-04T00:00:00.000000000,Kesehatan & Kecantikan,Solo,8,125000,Kartu Kredit,5.0
ORD-3013,2026-09-24T00:00:00.000000000,Makanan & Minuman,Yogyakarta,8,200000,Kartu Kredit,5.0
ORD-3014,2026-09-18T00:00:00.000000000,Kesehatan & Kecantikan,Semarang,1,60000,Transfer Bank,4.0
ORD-3015,2026-09-02T00:00:00.000000000,Elektronik,Purworejo,8,200000,COD,5.0
ORD-3016,2026-09-17T00:00:00.000000000,Elektronik,Purworejo,10,45000,COD,4.0
ORD-3017,2026-09-30T00:00:00.000000000,Fashion,Semarang,8,125000,E-Wallet,
ORD-3018,2026-09-28T00:00:00.000000000,Fashion,Semarang,11,90000,Transfer Bank,5.0
ORD-3019,2026-09-07T00:00:00.000000000,Olahraga,Semarang,2,125000,E-Wallet,
ORD-3020,2026-09-12T00:00:00.000000000,Olahraga,Magelang,4,90000,E-Wallet,5.0
ORD-3021,2026-09-21T00:00:00.000000000,Olahraga,Kebumen,5,125000,COD,5.0
ORD-3022,2026-09-24T00:00:00.000000000,Olahraga,Purworejo,6,20000,Kartu Kredit,4.0
ORD-3023,2026-09-03T00:00:00.000000000,Makanan & Minuman,Solo,2,200000,Kartu Kredit,4.0
ORD-3024,2026-09-01T00:00:00.000000000,Fashion,Kebumen,7,45000,COD,
ORD-3025,2026-09-13T00:00:00.000000000,Olahraga,Semarang,6,60000,Kartu Kredit,3.0
ORD-3026,2026-09-09T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,3,45000,E-Wallet,3.0
ORD-3027,2026-09-09T00:00:00.000000000,Fashion,Kebumen,7,90000,Kartu Kredit,5.0
ORD-3028,2026-09-21T00:00:00.000000000,Elektronik,Solo,7,90000,Kartu Kredit,3.0
ORD-3029,2026-09-26T00:00:00.000000000,Olahraga,Solo,7,200000,COD,5.0
ORD-3030,2026-09-28T00:00:00.000000000,Makanan & Minuman,Semarang,5,125000,Transfer Bank,5.0
ORD-3031,2026-09-08T00:00:00.000000000,Rumah Tangga,Solo,4,45000,Kartu Kredit,4.0
ORD-3032,2026-09-16T00:00:00.000000000,Fashion,Solo,8,60000,Kartu Kredit,
ORD-3033,2026-09-27T00:00:00.000000000,Olahraga,Solo,3,20000,Transfer Bank,4.0
ORD-3034,2026-09-16T00:00:00.000000000,Olahraga,Magelang,4,45000,Transfer Bank,
ORD-3035,2026-09-28T00:00:00.000000000,Fashion,Kebumen,7,20000,Kartu Kredit,
ORD-3036,2026-09-06T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,4,350000,E-Wallet,
ORD-3037,2026-09-15T00:00:00.000000000,Elektronik,Magelang,5,20000,Transfer Bank,4.0
ORD-3038,2026-09-05T00:00:00.000000000,Kesehatan & Kecantikan,Solo,2,20000,E-Wallet,
ORD-3039,2026-09-13T00:00:00.000000000,Makanan & Minuman,Magelang,6,200000,Transfer Bank,5.0
ORD-3040,2026-09-26T00:00:00.000000000,Olahraga,Purworejo,5,90000,Kartu Kredit,5.0
ORD-3041,2026-09-18T00:00:00.000000000,Olahraga,Solo,10,20000,E-Wallet,
ORD-3042,2026-09-10T00:00:00.000000000,Kesehatan & Kecantikan,Solo,2,20000,COD,5.0
ORD-3043,2026-09-01T00:00:00.000000000,Fashion,Solo,9,200000,COD,4.0
ORD-3044,2026-09-22T00:00:00.000000000,Rumah Tangga,Magelang,8,60000,Kartu Kredit,
ORD-3045,2026-09-16T00:00:00.000000000,Rumah Tangga,Kebumen,6,60000,Transfer Bank,5.0
ORD-3046,2026-09-10T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,4,20000,COD,1.0
ORD-3047,2026-09-04T00:00:00.000000000,Olahraga,Solo,5,60000,E-Wallet,4.0
ORD-3048,2026-09-20T00:00:00.000000000,Rumah Tangga,Semarang,10,125000,Transfer Bank,
ORD-3049,2026-09-23T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,3,20000,Transfer Bank,3.0
ORD-3050,2026-09-27T00:00:00.000000000,Kesehatan & Kecantikan,Semarang,8,125000,E-Wallet,
ORD-3051,2026-09-19T00:00:00.000000000,Olahraga,Yogyakarta,10,90000,COD,
ORD-3052,2026-09-28T00:00:00.000000000,Fashion,Kebumen,6,200000,COD,3.0
ORD-3053,2026-09-06T00:00:00.000000000,Makanan & Minuman,Semarang,4,20000,E-Wallet,
ORD-3054,2026-09-13T00:00:00.000000000,Olahraga,Yogyakarta,10,90000,E-Wallet,
ORD-3055,2026-09-01T00:00:00.000000000,Olahraga,Semarang,7,90000,E-Wallet,3.0
ORD-3056,2026-09-29T00:00:00.000000000,Rumah Tangga,Semarang,6,45000,E-Wallet,4.0
ORD-3057,2026-09-22T00:00:00.000000000,Fashion,Purworejo,2,90000,E-Wallet,
ORD-3058,2026-09-28T00:00:00.000000000,Olahraga,Semarang,4,20000,Kartu Kredit,5.0
ORD-3059,2026-09-02T00:00:00.000000000,Olahraga,Magelang,4,20000,Transfer Bank,5.0
ORD-3060,2026-09-13T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,9,125000,Kartu Kredit,
ORD-3061,2026-09-12T00:00:00.000000000,Makanan & Minuman,Yogyakarta,7,125000,E-Wallet,3.0
ORD-3062,2026-09-19T00:00:00.000000000,Rumah Tangga,Yogyakarta,6,90000,COD,
ORD-3063,2026-09-12T00:00:00.000000000,Olahraga,Kebumen,11,60000,E-Wallet,
ORD-3064,2026-09-30T00:00:00.000000000,Kesehatan & Kecantikan,Semarang,8,125000,E-Wallet,3.0
ORD-3065,2026-09-18T00:00:00.000000000,Rumah Tangga,Magelang,2,60000,COD,
ORD-3066,2026-09-10T00:00:00.000000000,Olahraga,Magelang,8,200000,COD,5.0
ORD-3067,2026-09-28T00:00:00.000000000,Elektronik,Kebumen,8,200000,Kartu Kredit,
ORD-3068,2026-09-02T00:00:00.000000000,Makanan & Minuman,Kebumen,3,45000,COD,4.0
ORD-3069,2026-09-13T00:00:00.000000000,Elektronik,Solo,1,350000,COD,4.0
ORD-3070,2026-09-14T00:00:00.000000000,Fashion,Kebumen,2,60000,Transfer Bank,5.0
ORD-3071,2026-09-13T00:00:00.000000000,Makanan & Minuman,Semarang,1,125000,E-Wallet,5.0
ORD-3072,2026-09-04T00:00:00.000000000,Rumah Tangga,Magelang,9,90000,Transfer Bank,
ORD-3073,2026-09-25T00:00:00.000000000,Fashion,Yogyakarta,4,90000,COD,
ORD-3074,2026-09-09T00:00:00.000000000,Elektronik,Magelang,3,125000,COD,
ORD-3075,2026-09-10T00:00:00.000000000,Olahraga,Solo,9,90000,E-Wallet,
ORD-3076,2026-09-19T00:00:00.000000000,Elektronik,Yogyakarta,4,60000,Kartu Kredit,
ORD-3077,2026-09-26T00:00:00.000000000,Fashion,Purworejo,2,20000,E-Wallet,4.0
ORD-3078,2026-09-09T00:00:00.000000000,Fashion,Kebumen,11,200000,Transfer Bank,4.0
ORD-3079,2026-09-12T00:00:00.000000000,Olahraga,Magelang,7,90000,COD,
ORD-3080,2026-09-01T00:00:00.000000000,Makanan & Minuman,Purworejo,1,350000,COD,5.0
ORD-3081,2026-09-24T00:00:00.000000000,Olahraga,Purworejo,8,350000,Kartu Kredit,4.0
ORD-3082,2026-09-30T00:00:00.000000000,Kesehatan & Kecantikan,Kebumen,3,90000,Kartu Kredit,5.0
ORD-3083,2026-09-12T00:00:00.000000000,Olahraga,Kebumen,9,20000,Kartu Kredit,
ORD-3084,2026-09-04T00:00:00.000000000,Fashion,Kebumen,3,90000,Kartu Kredit,1.0
ORD-3085,2026-09-19T00:00:00.000000000,Makanan & Minuman,Purworejo,10,200000,Transfer Bank,4.0
ORD-3086,2026-09-17T00:00:00.000000000,Elektronik,Yogyakarta,3,350000,E-Wallet,4.0
ORD-3087,2026-09-07T00:00:00.000000000,Elektronik,Magelang,10,60000,Kartu Kredit,4.0
ORD-3088,2026-09-30T00:00:00.000000000,Elektronik,Kebumen,9,200000,COD,4.0
ORD-3089,2026-09-17T00:00:00.000000000,Makanan & Minuman,Yogyakarta,4,20000,E-Wallet,3.0
ORD-3090,2026-09-03T00:00:00.000000000,Olahraga,Kebumen,7,125000,E-Wallet,5.0
ORD-3091,2026-09-28T00:00:00.000000000,Rumah Tangga,Kebumen,5,20000,COD,5.0
ORD-3092,2026-09-11T00:00:00.000000000,Makanan & Minuman,Yogyakarta,5,20000,E-Wallet,
ORD-3093,2026-09-20T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,2,60000,Transfer Bank,
ORD-3094,2026-09-19T00:00:00.000000000,Olahraga,Semarang,6,60000,Transfer Bank,5.0
ORD-3095,2026-09-29T00:00:00.000000000,Fashion,Yogyakarta,11,60000,Transfer Bank,3.0
ORD-3096,2026-09-09T00:00:00.000000000,Rumah Tangga,Purworejo,7,90000,Transfer Bank,4.0
ORD-3097,2026-09-28T00:00:00.000000000,Rumah Tangga,Yogyakarta,9,200000,Transfer Bank,5.0
ORD-3098,2026-09-27T00:00:00.000000000,Fashion,Magelang,3,90000,COD,
ORD-3099,2026-09-04T00:00:00.000000000,Rumah Tangga,Kebumen,2,350000,COD,5.0
ORD-3100,2026-09-14T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,3,20000,COD,5.0
ORD-3101,2026-09-22T00:00:00.000000000,Rumah Tangga,Yogyakarta,11,125000,COD,4.0
ORD-3102,2026-09-30T00:00:00.000000000,Fashion,Solo,1,350000,Kartu Kredit,5.0
ORD-3103,2026-09-22T00:00:00.000000000,Elektronik,Kebumen,11,60000,Transfer Bank,
ORD-3104,2026-09-10T00:00:00.000000000,Fashion,Solo,5,60000,E-Wallet,4.0
ORD-3105,2026-09-13T00:00:00.000000000,Elektronik,Kebumen,10,200000,Kartu Kredit,5.0
ORD-3106,2026-09-05T00:00:00.000000000,Elektronik,Purworejo,8,20000,Kartu Kredit,3.0
ORD-3107,2026-09-02T00:00:00.000000000,Elektronik,Yogyakarta,7,125000,Transfer Bank,4.0
